Operacao,Estrutura,k,Esparsidade,Tempo_ns,Memoria_Bytes
ESCALAR,Hash,22,5.5e-08,49855,0
ESCALAR,Tree,22,5.5e-08,725,0
SET,Hash,22,5.5e-08,6640,643488
SET,Tree,22,5.5e-08,13846,6336
GET,Hash,22,5.5e-08,816,0
GET,Tree,22,5.5e-08,2660,0
SOMA,Hash,23,5.75e-08,290714,647504
SOMA,Tree,23,5.75e-08,32753,13160
MULT,Hash,23,5.75e-08,219876,640000
MULT,Tree,23,5.75e-08,2833,0
TRANS,Hash,23,5.75e-08,20,0
TRANS,Tree,23,5.75e-08,21,0
ESCALAR,Hash,23,5.75e-08,50096,0
ESCALAR,Tree,23,5.75e-08,784,0
SET,Hash,23,5.75e-08,6804,643616
SET,Tree,23,5.75e-08,14076,6624
GET,Hash,23,5.75e-08,980,0
GET,Tree,23,5.75e-08,2671,0
SOMA,Hash,24,6e-08,288288,647760
SOMA,Tree,24,6e-08,31677,13824
MULT,Hash,24,6e-08,220162,640000
MULT,Tree,24,6e-08,3216,0
TRANS,Hash,24,6e-08,20,0
TRANS,Tree,24,6e-08,28,0
ESCALAR,Hash,24,6e-08,49956,0
ESCALAR,Tree,24,6e-08,933,0
SET,Hash,24,6e-08,6825,643744
SET,Tree,24,6e-08,14887,6912
GET,Hash,24,6e-08,1021,0
GET,Tree,24,6e-08,2978,0
SOMA,Hash,25,6.25e-08,287949,648016
SOMA,Tree,25,6.25e-08,33456,14400
MULT,Hash,25,6.25e-08,220329,640000
MULT,Tree,25,6.25e-08,3229,0
TRANS,Hash,25,6.25e-08,21,0
TRANS,Tree,25,6.25e-08,21,0
ESCALAR,Hash,25,6.25e-08,49714,0
ESCALAR,Tree,25,6.25e-08,852,0
SET,Hash,25,6.25e-08,6928,643872
SET,Tree,25,6.25e-08,15379,7200
GET,Hash,25,6.25e-08,1012,0
GET,Tree,25,6.25e-08,2940,0
SOMA,Hash,26,6.5e-08,288935,648272
SOMA,Tree,26,6.5e-08,36682,14976
MULT,Hash,26,6.5e-08,221505,640000
MULT,Tree,26,6.5e-08,3414,0
TRANS,Hash,26,6.5e-08,20,0
TRANS,Tree,26,6.5e-08,21,0
ESCALAR,Hash,26,6.5e-08,50099,0
ESCALAR,Tree,26,6.5e-08,842,0
SET,Hash,26,6.5e-08,7966,644000
SET,Tree,26,6.5e-08,17415,7488
GET,Hash,26,6.5e-08,1244,0
GET,Tree,26,6.5e-08,3185,0
SOMA,Hash,27,6.75e-08,285803,648528
SOMA,Tree,27,6.75e-08,36915,15552
MULT,Hash,27,6.75e-08,222041,640336
MULT,Tree,27,6.75e-08,4153,288
TRANS,Hash,27,6.75e-08,19,0
TRANS,Tree,27,6.75e-08,21,0
ESCALAR,Hash,27,6.75e-08,49900,0
ESCALAR,Tree,27,6.75e-08,809,0
SET,Hash,27,6.75e-08,7882,644128
SET,Tree,27,6.75e-08,16804,7776
GET,Hash,27,6.75e-08,1204,0
GET,Tree,27,6.75e-08,3035,0
SOMA,Hash,28,7e-08,286165,648784
SOMA,Tree,28,7e-08,38074,16128
MULT,Hash,28,7e-08,220313,640000
MULT,Tree,28,7e-08,3726,0
TRANS,Hash,28,7e-08,20,0
TRANS,Tree,28,7e-08,29,0
ESCALAR,Hash,28,7e-08,49921,0
ESCALAR,Tree,28,7e-08,860,0
SET,Hash,28,7e-08,8553,644256
SET,Tree,28,7e-08,17328,8064
GET,Hash,28,7e-08,1424,0
GET,Tree,28,7e-08,3356,0
SOMA,Hash,29,7.25e-08,292549,649040
SOMA,Tree,29,7.25e-08,39727,16704
MULT,Hash,29,7.25e-08,220545,640000
MULT,Tree,29,7.25e-08,3728,0
TRANS,Hash,29,7.25e-08,21,0
TRANS,Tree,29,7.25e-08,28,0
ESCALAR,Hash,29,7.25e-08,50236,0
ESCALAR,Tree,29,7.25e-08,942,0
SET,Hash,29,7.25e-08,8476,644384
SET,Tree,29,7.25e-08,17708,8352
GET,Hash,29,7.25e-08,1337,0
GET,Tree,29,7.25e-08,3285,0
SOMA,Hash,30,7.5e-08,295890,651328
SOMA,Tree,30,7.5e-08,40781,17280
MULT,Hash,30,7.5e-08,220412,640000
MULT,Tree,30,7.5e-08,4157,0
TRANS,Hash,30,7.5e-08,19,0
TRANS,Tree,30,7.5e-08,26,0
ESCALAR,Hash,30,7.5e-08,49863,0
ESCALAR,Tree,30,7.5e-08,983,0
SET,Hash,30,7.5e-08,9607,645456
SET,Tree,30,7.5e-08,18723,8640
GET,Hash,30,7.5e-08,1255,0
GET,Tree,30,7.5e-08,3607,0
SOMA,Hash,31,7.75e-08,290290,651584
SOMA,Tree,31,7.75e-08,42296,17768
MULT,Hash,31,7.75e-08,220352,640000
MULT,Tree,31,7.75e-08,4060,0
TRANS,Hash,31,7.75e-08,20,0
TRANS,Tree,31,7.75e-08,25,0
ESCALAR,Hash,31,7.75e-08,49941,0
ESCALAR,Tree,31,7.75e-08,1028,0
SET,Hash,31,7.75e-08,9294,645584
SET,Tree,31,7.75e-08,19679,8840
GET,Hash,31,7.75e-08,1179,0
GET,Tree,31,7.75e-08,3792,0
SOMA,Hash,32,8e-08,297926,651840
SOMA,Tree,32,8e-08,43901,18344
MULT,Hash,32,8e-08,220898,640000
MULT,Tree,32,8e-08,4332,0
TRANS,Hash,32,8e-08,20,0
TRANS,Tree,32,8e-08,28,0
ESCALAR,Hash,32,8e-08,49927,0
ESCALAR,Tree,32,8e-08,1004,0
SET,Hash,32,8e-08,9512,645712
SET,Tree,32,8e-08,20819,9216
GET,Hash,32,8e-08,1326,0
GET,Tree,32,8e-08,4165,0
SOMA,Hash,33,8.25e-08,293156,652096
SOMA,Tree,33,8.25e-08,45488,19008
MULT,Hash,33,8.25e-08,220667,640000
MULT,Tree,33,8.25e-08,4375,0
TRANS,Hash,33,8.25e-08,21,0
TRANS,Tree,33,8.25e-08,23,0
ESCALAR,Hash,33,8.25e-08,49868,0
ESCALAR,Tree,33,8.25e-08,1094,0
SET,Hash,33,8.25e-08,10109,645840
SET,Tree,33,8.25e-08,20737,9504
GET,Hash,33,8.25e-08,1399,0
GET,Tree,33,8.25e-08,4131,0
SOMA,Hash,34,8.5e-08,291308,652352
SOMA,Tree,34,8.5e-08,47391,19584
MULT,Hash,34,8.5e-08,221155,640336
MULT,Tree,34,8.5e-08,5153,288
TRANS,Hash,34,8.5e-08,20,0
TRANS,Tree,34,8.5e-08,27,0
ESCALAR,Hash,34,8.5e-08,50270,0
ESCALAR,Tree,34,8.5e-08,1055,0
SET,Hash,34,8.5e-08,10871,645968
SET,Tree,34,8.5e-08,20770,9792
GET,Hash,34,8.5e-08,1446,0
GET,Tree,34,8.5e-08,3954,0
SOMA,Hash,35,8.75e-08,292938,652608
SOMA,Tree,35,8.75e-08,48736,20160
MULT,Hash,35,8.75e-08,220719,640000
MULT,Tree,35,8.75e-08,4669,0
TRANS,Hash,35,8.75e-08,20,0
TRANS,Tree,35,8.75e-08,34,0
ESCALAR,Hash,35,8.75e-08,49972,0
ESCALAR,Tree,35,8.75e-08,1153,0
SET,Hash,35,8.75e-08,10372,646096
SET,Tree,35,8.75e-08,22261,10080
GET,Hash,35,8.75e-08,1554,0
GET,Tree,35,8.75e-08,4263,0
SOMA,Hash,36,9e-08,291566,652864
SOMA,Tree,36,9e-08,49813,20736
MULT,Hash,36,9e-08,220968,640000
MULT,Tree,36,9e-08,4636,0
TRANS,Hash,36,9e-08,27,0
TRANS,Tree,36,9e-08,22,0
ESCALAR,Hash,36,9e-08,49855,0
ESCALAR,Tree,36,9e-08,1166,0
SET,Hash,36,9e-08,10202,646224
SET,Tree,36,9e-08,23224,10368
GET,Hash,36,9e-08,1549,0
GET,Tree,36,9e-08,4957,0
SOMA,Hash,37,9.25e-08,296954,653120
SOMA,Tree,37,9.25e-08,52223,21312
MULT,Hash,37,9.25e-08,223522,640000
MULT,Tree,37,9.25e-08,4822,0
TRANS,Hash,37,9.25e-08,28,0
TRANS,Tree,37,9.25e-08,21,0
ESCALAR,Hash,37,9.25e-08,49944,0
ESCALAR,Tree,37,9.25e-08,1097,0
SET,Hash,37,9.25e-08,10829,646352
SET,Tree,37,9.25e-08,23570,10656
GET,Hash,37,9.25e-08,1586,0
GET,Tree,37,9.25e-08,4798,0
SOMA,Hash,38,9.5e-08,293331,653376
SOMA,Tree,38,9.5e-08,52929,21888
MULT,Hash,38,9.5e-08,224553,640336
MULT,Tree,38,9.5e-08,5644,288
TRANS,Hash,38,9.5e-08,21,0
TRANS,Tree,38,9.5e-08,28,0
ESCALAR,Hash,38,9.5e-08,50011,0
ESCALAR,Tree,38,9.5e-08,1274,0
SET,Hash,38,9.5e-08,11450,646480
SET,Tree,38,9.5e-08,24130,10944
GET,Hash,38,9.5e-08,1624,0
GET,Tree,38,9.5e-08,4875,0
SOMA,Hash,39,9.75e-08,303152,653632
SOMA,Tree,39,9.75e-08,54250,22464
MULT,Hash,39,9.75e-08,221886,640000
MULT,Tree,39,9.75e-08,4912,0
TRANS,Hash,39,9.75e-08,20,0
TRANS,Tree,39,9.75e-08,25,0
ESCALAR,Hash,39,9.75e-08,50115,0
ESCALAR,Tree,39,9.75e-08,1187,0
SET,Hash,39,9.75e-08,11719,646608
SET,Tree,39,9.75e-08,25449,11232
GET,Hash,39,9.75e-08,1631,0
GET,Tree,39,9.75e-08,4952,0
SOMA,Hash,40,1e-07,297263,653888
SOMA,Tree,40,1e-07,56498,23040
MULT,Hash,40,1e-07,223889,640000
MULT,Tree,40,1e-07,5602,0
TRANS,Hash,40,1e-07,20,0
TRANS,Tree,40,1e-07,21,0
ESCALAR,Hash,40,1e-07,50410,0
ESCALAR,Tree,40,1e-07,1276,0
SET,Hash,40,1e-07,12342,646736
SET,Tree,40,1e-07,25409,11520
GET,Hash,40,1e-07,1795,0
GET,Tree,40,1e-07,4882,0
SOMA,Hash,41,1.025e-07,294098,654144
SOMA,Tree,41,1.025e-07,58392,23616
MULT,Hash,41,1.025e-07,220433,640000
MULT,Tree,41,1.025e-07,5677,0
TRANS,Hash,41,1.025e-07,20,0
TRANS,Tree,41,1.025e-07,21,0
ESCALAR,Hash,41,1.025e-07,50023,0
