Operacao,Estrutura,N,Esparsidade,Tempo_ns,Memoria_Bytes
SET,Est2(Tree),100000000,1e-12,8252426,2879912
GET,Densa,100000000,1e-12,-1,0
GET,Est1(Hash),100000000,1e-12,518455,0
GET,Est2(Tree),100000000,1e-12,2096883,0
TRANS,Densa,100000000,1e-11,-1,0
TRANS,Est1(Hash),100000000,1e-11,142,0
TRANS,Est2(Tree),100000000,1e-11,335,0
SOMA,Densa,100000000,1e-11,-1,0
SOMA,Est1(Hash),100000000,1e-11,2016768173,3236669936
SOMA,Est2(Tree),100000000,1e-11,293401611,57567264
MULT,Densa,100000000,1e-11,-1,0
MULT,Est1(Hash),100000000,1e-11,1608437181,3200015296
MULT,Est2(Tree),100000000,1e-11,52738510,26208
ESCALAR,Densa,100000000,1e-11,-1,0
ESCALAR,Est1(Hash),100000000,1e-11,259067095,0
ESCALAR,Est2(Tree),100000000,1e-11,10941952,0
SET,Densa,100000000,1e-11,-1,0
SET,Est1(Hash),100000000,1e-11,63248914,3218252960
SET,Est2(Tree),100000000,1e-11,114337160,28791904
GET,Densa,100000000,1e-11,-1,0
GET,Est1(Hash),100000000,1e-11,8469451,0
GET,Est2(Tree),100000000,1e-11,33268517,0
TRANS,Densa,100000000,1e-10,-1,0
TRANS,Est1(Hash),100000000,1e-10,194,0
TRANS,Est2(Tree),100000000,1e-10,222,0
SOMA,Densa,100000000,1e-10,-1,0
SOMA,Est1(Hash),100000000,1e-10,4126611376,3548646400
SOMA,Est2(Tree),100000000,1e-10,3992152683,572481408
MULT,Densa,100000000,1e-10,-1,0
MULT,Est1(Hash),100000000,1e-10,1761725611,3201605824
MULT,Est2(Tree),100000000,1e-10,839551317,2889016
ESCALAR,Densa,100000000,1e-10,-1,0
ESCALAR,Est1(Hash),100000000,1e-10,320455867,0
ESCALAR,Est2(Tree),100000000,1e-10,123501019,0
SET,Densa,100000000,1e-10,-1,0
SET,Est1(Hash),100000000,1e-10,880753607,3373627536
SET,Est2(Tree),100000000,1e-10,1763776362,287127656
GET,Densa,100000000,1e-10,-1,0
GET,Est1(Hash),100000000,1e-10,172965010,0
GET,Est2(Tree),100000000,1e-10,733749832,0
